id,num,name,img,type,height,weight,candy,candy_count,egg,spawn_chance,avg_spawns,spawn_time,weakness,next_evolution,prev_evolution
1,001,Bulbasaur,http://www.serebii.net/pokemongo/pokemon/001.png,"Grass, Poison",0.71 m,6.9 kg,Bulbasaur Candy,25,2 km,0.69,69,20:00,"Fire, Ice, Flying, Psychic","002 - Ivysaur, 003 - Venusaur",
2,002,Ivysaur,http://www.serebii.net/pokemongo/pokemon/002.png,"Grass, Poison",0.99 m,13.0 kg,Bulbasaur Candy,100,Not in Eggs,0.042,4.2,07:00,"Fire, Ice, Flying, Psychic",003 - Venusaur,001 - Bulbasaur
3,003,Venusaur,http://www.serebii.net/pokemongo/pokemon/003.png,"Grass, Poison",2.01 m,100.0 kg,Bulbasaur Candy,,Not in Eggs,0.017,1.7,11:30,"Fire, Ice, Flying, Psychic",,"001 - Bulbasaur, 002 - Ivysaur"
4,004,Charmander,http://www.serebii.net/pokemongo/pokemon/004.png,Fire,0.61 m,8.5 kg,Charmander Candy,25,2 km,0.253,25.3,08:45,"Water, Ground, Rock","005 - Charmeleon, 006 - Charizard",
5,005,Charmeleon,http://www.serebii.net/pokemongo/pokemon/005.png,Fire,1.09 m,19.0 kg,Charmander Candy,100,Not in Eggs,0.012,1.2,19:00,"Water, Ground, Rock",006 - Charizard,004 - Charmander
6,006,Charizard,http://www.serebii.net/pokemongo/pokemon/006.png,"Fire, Flying",1.70 m,90.5 kg,Charmander Candy,,Not in Eggs,0.0031,0.31,13:34,"Water, Electric, Rock",,"004 - Charmander, 005 - Charmeleon"
7,007,Squirtle,http://www.serebii.net/pokemongo/pokemon/007.png,Water,0.51 m,9.0 kg,Squirtle Candy,25,2 km,0.58,58,04:25,"Electric, Grass","008 - Wartortle, 009 - Blastoise",
8,008,Wartortle,http://www.serebii.net/pokemongo/pokemon/008.png,Water,0.99 m,22.5 kg,Squirtle Candy,100,Not in Eggs,0.034,3.4,07:02,"Electric, Grass",009 - Blastoise,007 - Squirtle
9,009,Blastoise,http://www.serebii.net/pokemongo/pokemon/009.png,Water,1.60 m,85.5 kg,Squirtle Candy,,Not in Eggs,0.0067,0.67,00:06,"Electric, Grass",,"007 - Squirtle, 008 - Wartortle"
10,010,Caterpie,http://www.serebii.net/pokemongo/pokemon/010.png,Bug,0.30 m,2.9 kg,Caterpie Candy,12,2 km,3.032,303.2,16:35,"Fire, Flying, Rock","011 - Metapod, 012 - Butterfree",
11,011,Metapod,http://www.serebii.net/pokemongo/pokemon/011.png,Bug,0.71 m,9.9 kg,Caterpie Candy,50,Not in Eggs,0.187,18.7,02:11,"Fire, Flying, Rock",012 - Butterfree,010 - Caterpie
12,012,Butterfree,http://www.serebii.net/pokemongo/pokemon/012.png,"Bug, Flying",1.09 m,32.0 kg,Caterpie Candy,,Not in Eggs,0.022,2.2,05:23,"Fire, Electric, Ice, Flying, Rock",,"010 - Caterpie, 011 - Metapod"
